algorithm,environment,seed,run_dir,mean_reward
c51,Acrobot-v1,1,Acrobot-v1__c51__1__1756494412,-497.052736
c51,Acrobot-v1,2,Acrobot-v1__c51__2__1756494414,-497.89741
c51,Acrobot-v1,3,Acrobot-v1__c51__3__1756494414,-126.915857
c51,Acrobot-v1,4,Acrobot-v1__c51__4__1756494412,-498.527944
c51,Acrobot-v1,5,Acrobot-v1__c51__5__1756494412,-133.563896
c51,Acrobot-v1,6,Acrobot-v1__c51__6__1756494412,-168.866259
c51,Acrobot-v1,7,Acrobot-v1__c51__7__1756494412,-139.08429
c51,Acrobot-v1,8,Acrobot-v1__c51__8__1756494412,-139.395734
c51,Acrobot-v1,9,Acrobot-v1__c51__9__1756494411,-133.271946
c51,Acrobot-v1,10,Acrobot-v1__c51__10__1756494415,-497.271642
c51,CartPole-v1,1,CartPole-v1__c51__1__1756494413,189.780775
c51,CartPole-v1,2,CartPole-v1__c51__2__1756494413,186.034996
c51,CartPole-v1,3,CartPole-v1__c51__3__1756494414,189.899696
c51,CartPole-v1,4,CartPole-v1__c51__4__1756494414,203.345543
c51,CartPole-v1,5,CartPole-v1__c51__5__1756494415,171.770024
c51,CartPole-v1,6,CartPole-v1__c51__6__1756494416,189.706262
c51,CartPole-v1,7,CartPole-v1__c51__7__1756494415,187.543136
c51,CartPole-v1,8,CartPole-v1__c51__8__1756494415,202.36776
c51,CartPole-v1,9,CartPole-v1__c51__9__1756494410,196.72874
c51,CartPole-v1,10,CartPole-v1__c51__10__1756494410,209.685403
c51_atari,Amidar-v0,1,Amidar-v0__c51_atari__1__1756538954,16.769294
c51_atari,Amidar-v0,2,Amidar-v0__c51_atari__2__1756541140,18.367702
c51_atari,Amidar-v0,3,Amidar-v0__c51_atari__3__1756541379,15.016948
c51_atari,Amidar-v0,4,Amidar-v0__c51_atari__4__1756541945,15.371865
c51_atari,Amidar-v0,5,Amidar-v0__c51_atari__5__1756541945,17.085925
c51_atari,Amidar-v0,6,Amidar-v0__c51_atari__6__1756541947,15.805393
c51_atari,Amidar-v0,7,Amidar-v0__c51_atari__7__1756543138,18.035452
c51_atari,Amidar-v0,8,Amidar-v0__c51_atari__8__1756544260,17.243585
c51_atari,Amidar-v0,9,Amidar-v0__c51_atari__9__1756545088,15.524858
c51_atari,Amidar-v0,10,Amidar-v0__c51_atari__10__1756545899,20.597947
c51_atari,AmidarNoFrameskip-v4,1,AmidarNoFrameskip-v4__c51_atari__1__1756494448,3.507842
c51_atari,AmidarNoFrameskip-v4,2,AmidarNoFrameskip-v4__c51_atari__2__1756494444,4.244572
c51_atari,AmidarNoFrameskip-v4,3,AmidarNoFrameskip-v4__c51_atari__3__1756494438,2.733575
c51_atari,AmidarNoFrameskip-v4,4,AmidarNoFrameskip-v4__c51_atari__4__1756494445,1.737551
c51_atari,AmidarNoFrameskip-v4,5,AmidarNoFrameskip-v4__c51_atari__5__1756494438,3.359885
c51_atari,AmidarNoFrameskip-v4,6,AmidarNoFrameskip-v4__c51_atari__6__1756494436,2.159002
c51_atari,AmidarNoFrameskip-v4,7,AmidarNoFrameskip-v4__c51_atari__7__1756494438,4.46558
c51_atari,AmidarNoFrameskip-v4,8,AmidarNoFrameskip-v4__c51_atari__8__1756494445,2.688429
c51_atari,AmidarNoFrameskip-v4,9,AmidarNoFrameskip-v4__c51_atari__9__1756494445,2.496976
c51_atari,AmidarNoFrameskip-v4,10,AmidarNoFrameskip-v4__c51_atari__10__1756494442,3.121174
c51_atari,BattleZone-v0,1,BattleZone-v0__c51_atari__1__1756558690,3096.845048
c51_atari,BattleZone-v0,2,BattleZone-v0__c51_atari__2__1756558759,3156.770543
c51_atari,BattleZone-v0,3,BattleZone-v0__c51_atari__3__1756558789,3149.30028
c51_atari,BattleZone-v0,4,BattleZone-v0__c51_atari__4__1756558793,3074.287074
c51_atari,BattleZone-v0,5,BattleZone-v0__c51_atari__5__1756558828,2993.471834
c51_atari,BattleZone-v0,6,BattleZone-v0__c51_atari__6__1756558935,3208.632809
c51_atari,BattleZone-v0,7,BattleZone-v0__c51_atari__7__1756558933,3112.313241
c51_atari,BattleZone-v0,8,BattleZone-v0__c51_atari__8__1756558964,2956.471387
c51_atari,BattleZone-v0,9,BattleZone-v0__c51_atari__9__1756559076,3178.30414
c51_atari,BattleZone-v0,10,BattleZone-v0__c51_atari__10__1756559177,3034.411095
c51_atari,BattleZoneNoFrameskip-v4,1,BattleZoneNoFrameskip-v4__c51_atari__1__1756495788,2396.272568
c51_atari,BattleZoneNoFrameskip-v4,2,BattleZoneNoFrameskip-v4__c51_atari__2__1756495785,2554.371491
c51_atari,BattleZoneNoFrameskip-v4,3,BattleZoneNoFrameskip-v4__c51_atari__3__1756495786,2352.920763
c51_atari,BattleZoneNoFrameskip-v4,4,BattleZoneNoFrameskip-v4__c51_atari__4__1756495790,2504.68154
c51_atari,BattleZoneNoFrameskip-v4,5,BattleZoneNoFrameskip-v4__c51_atari__5__1756495788,2434.818002
